apartment,floor
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,6
25,6
26,6
27,6
28,6
29,6
30,6
31,6
32,7
33,7
34,7
35,7
36,7
37,7
38,7
39,7
40,8
41,8
42,8
43,8
44,8
45,8
46,8
47,8
48,9
49,9
50,9
51,9
52,9
53,9
54,9
55,9
56,10
57,10
58,10
59,10
60,10
61,10
62,10
63,10
64,11
65,11
66,11
67,11
68,11
69,11
70,11
71,11
72,12
73,12
74,12
75,12
76,12
77,12
78,12
79,12
80,13
81,13
82,13
83,13
84,13
85,13
86,13
87,13
88,14
89,14
90,14
91,14
92,14
93,14
94,15
95,15
96,15
97,15
98,15
99,15
100,16
101,16
102,16
103,16
104,16
105,16
106,17
107,17
108,17
109,17
110,17
111,17
112,18
113,18
114,18
115,18
116,18
117,18
118,19
119,19
120,19
121,19
122,19
123,19
124,20
125,20
126,20
127,20
128,20
129,20
130,21
131,21
132,21
133,21
134,21
135,21
136,22
137,22
138,22
139,22
140,22
141,22
142,23
143,23
144,23
145,23
146,23
147,23
148,24
149,24
150,24
151,24
152,24
153,24
154,25
155,25
156,25
157,25
158,25
159,25
160,26
161,26
162,26
163,26
164,27
165,27
166,27
167,27
168,28
169,28
170,28
171,28
172,29
173,29
174,29
175,29
176,30
177,30
178,31
179,31
